ID, Elapsed, Walltime
001689,33.52, 267 seconds 0.07 hours
005916,33.85, 265 seconds 0.07 hours
005635,34.03, 263 seconds 0.07 hours
000799,33.84, 265 seconds 0.07 hours
003647,33.65, 266 seconds 0.07 hours
005682,33.87, 265 seconds 0.07 hours
005284,33.54, 267 seconds 0.07 hours
000392,34.07, 263 seconds 0.07 hours
001243,33.92, 264 seconds 0.07 hours
003217,33.97, 264 seconds 0.07 hours
005388,33.52, 267 seconds 0.07 hours
001698,33.96, 264 seconds 0.07 hours
004470,34.02, 263 seconds 0.07 hours
000630,33.87, 264 seconds 0.07 hours
001435,33.90, 263 seconds 0.07 hours
003928,33.84, 263 seconds 0.07 hours
003015,33.59, 267 seconds 0.07 hours
003834,34.08, 262 seconds 0.07 hours
004925,33.84, 264 seconds 0.07 hours
002926,34.06, 263 seconds 0.07 hours
001621,33.83, 264 seconds 0.07 hours
003013,33.97, 262 seconds 0.07 hours
004447,33.52, 267 seconds 0.07 hours
004090,34.01, 263 seconds 0.07 hours
001947,33.97, 263 seconds 0.07 hours
001272,33.57, 265 seconds 0.07 hours
000024,33.62, 265 seconds 0.07 hours
003175,34.13, 261 seconds 0.07 hours
002066,33.88, 264 seconds 0.07 hours
003537,33.93, 264 seconds 0.07 hours
000129,33.94, 263 seconds 0.07 hours
002751,33.74, 265 seconds 0.07 hours
001666,33.94, 263 seconds 0.07 hours
003973,33.97, 263 seconds 0.07 hours
001914,33.86, 264 seconds 0.07 hours
004303,33.96, 263 seconds 0.07 hours
001813,33.70, 265 seconds 0.07 hours
001276,33.97, 264 seconds 0.07 hours
003083,33.82, 264 seconds 0.07 hours
001442,33.91, 263 seconds 0.07 hours
004125,33.82, 264 seconds 0.07 hours
004343,33.85, 263 seconds 0.07 hours
000764,33.93, 263 seconds 0.07 hours
001884,33.53, 267 seconds 0.07 hours
000348,33.89, 263 seconds 0.07 hours
004253,33.81, 264 seconds 0.07 hours
001571,33.97, 263 seconds 0.07 hours
003397,33.52, 265 seconds 0.07 hours
002198,33.99, 264 seconds 0.07 hours
003729,33.50, 267 seconds 0.07 hours
000269,34.06, 263 seconds 0.07 hours
001952,34.04, 263 seconds 0.07 hours
002577,33.89, 264 seconds 0.07 hours
003551,33.54, 267 seconds 0.07 hours
000962,33.50, 267 seconds 0.07 hours
004632,34.00, 263 seconds 0.07 hours
002453,33.89, 264 seconds 0.07 hours
001414,33.61, 266 seconds 0.07 hours
000925,33.91, 263 seconds 0.07 hours
000740,33.92, 262 seconds 0.07 hours
002736,34.00, 262 seconds 0.07 hours
003930,34.12, 262 seconds 0.07 hours
001065,33.56, 265 seconds 0.07 hours
001898,33.61, 266 seconds 0.07 hours
000769,33.94, 264 seconds 0.07 hours
004133,33.95, 262 seconds 0.07 hours
000621,33.95, 262 seconds 0.07 hours
002833,33.98, 263 seconds 0.07 hours
003949,33.53, 266 seconds 0.07 hours
002100,33.50, 266 seconds 0.07 hours
004444,33.82, 264 seconds 0.07 hours
004591,34.00, 262 seconds 0.07 hours
005644,33.50, 266 seconds 0.07 hours
005252,34.05, 262 seconds 0.07 hours
005624,33.99, 263 seconds 0.07 hours
005534,34.06, 262 seconds 0.07 hours
002888,33.48, 268 seconds 0.07 hours
005910,33.95, 263 seconds 0.07 hours
002464,33.66, 265 seconds 0.07 hours
000529,33.91, 264 seconds 0.07 hours
004514,33.93, 264 seconds 0.07 hours
000649,33.72, 265 seconds 0.07 hours
005137,34.04, 262 seconds 0.07 hours
005895,33.86, 264 seconds 0.07 hours
001302,33.60, 266 seconds 0.07 hours
003304,33.88, 263 seconds 0.07 hours
002948,33.94, 263 seconds 0.07 hours
001580,33.96, 263 seconds 0.07 hours
001361,33.94, 262 seconds 0.07 hours
001458,33.96, 263 seconds 0.07 hours
001791,33.56, 266 seconds 0.07 hours
000874,33.63, 265 seconds 0.07 hours
002896,33.98, 262 seconds 0.07 hours
001929,34.05, 262 seconds 0.07 hours
000689,33.60, 265 seconds 0.07 hours
002791,33.89, 263 seconds 0.07 hours
001497,33.77, 264 seconds 0.07 hours
000514,33.63, 266 seconds 0.07 hours
004115,34.01, 263 seconds 0.07 hours
004029,33.94, 263 seconds 0.07 hours
004307,33.94, 263 seconds 0.07 hours
004486,34.04, 262 seconds 0.07 hours
003341,33.50, 266 seconds 0.07 hours
005756,33.56, 266 seconds 0.07 hours
000970,33.94, 263 seconds 0.07 hours
005415,33.89, 263 seconds 0.07 hours
005191,33.60, 266 seconds 0.07 hours
000498,33.93, 263 seconds 0.07 hours
006008,34.06, 262 seconds 0.07 hours
005701,34.04, 262 seconds 0.07 hours
000121,34.00, 262 seconds 0.07 hours
006000,33.65, 265 seconds 0.07 hours
005831,33.57, 266 seconds 0.07 hours
006009,33.85, 263 seconds 0.07 hours
005132,34.04, 263 seconds 0.07 hours
005673,33.92, 264 seconds 0.07 hours
003909,33.83, 265 seconds 0.07 hours
005666,34.09, 263 seconds 0.07 hours
003570,33.88, 264 seconds 0.07 hours
005430,33.52, 267 seconds 0.07 hours
005618,33.89, 263 seconds 0.07 hours
005578,33.55, 266 seconds 0.07 hours
004528,34.03, 262 seconds 0.07 hours
001894,33.45, 266 seconds 0.07 hours
003203,34.01, 262 seconds 0.07 hours
000303,33.91, 264 seconds 0.07 hours
001371,33.85, 263 seconds 0.07 hours
000311,33.99, 263 seconds 0.07 hours
002440,33.85, 263 seconds 0.07 hours
000708,34.06, 263 seconds 0.07 hours
000773,33.86, 263 seconds 0.07 hours
001709,33.95, 264 seconds 0.07 hours
004809,33.63, 266 seconds 0.07 hours
003145,33.98, 262 seconds 0.07 hours
003442,33.64, 265 seconds 0.07 hours
001676,34.13, 261 seconds 0.07 hours
002261,34.11, 261 seconds 0.07 hours
000333,33.86, 264 seconds 0.07 hours
